Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
1,295,,,,,,,,,,,,,,,,,,,,,,,,
2,138,,,,,,,,,,,,,,,,,,,,,,,,
3,138,,,,,,,,,,,,,,,,,,,,,,,,
4,138,,,,,,,,,,,,,,,,,,,,,,,,
5,138,,,,,,,,,,,,,,,,,,,,,,,,
6,138,,,,,,,,,,,,,,,,,,,,,,,,
7,139,,,,,,,,,,,,,,,,,,,,,,,,
8,138,,,,,,,,,,,,,,,,,,,,,,,,
9,138,,,,,,,,,,,,,,,,,,,,,,,,
10,139,,,,,,,,,,,,,,,,,,,,,,,,
11,138,,,,,,,,,,,,,,,,,,,,,,,,
12,138,,,,,,,,,,,,,,,,,,,,,,,,
13,138,,,,,,,,,,,,,,,,,,,,,,,,
14,137,,,,,,,,,,,,,,,,,,,,,,,,
15,138,,,,,,,,,,,,,,,,,,,,,,,,
16,138,,,,,,,,,,,,,,,,,,,,,,,,
17,138,,,,,,,,,,,,,,,,,,,,,,,,
18,139,,,,,,,,,,,,,,,,,,,,,,,,
19,138,,,,,,,,,,,,,,,,,,,,,,,,
20,138,,,,,,,,,,,,,,,,,,,,,,,,
21,138,,,,,,,,,,,,,,,,,,,,,,,,
22,137,,,,,,,,,,,,,,,,,,,,,,,,
23,136,,,,,,,,,,,,,,,,,,,,,,,,
24,134,,,,,,,,,,,,,,,,,,,,,,,,
25,131,,,,,,,,,,,,,,,,,,,,,,,,
26,124,,,,,,,,,,,,,,,,,,,,,,,,
27,117,,,,,,,,,,,,,,,,,,,,,,,,
28,114,,,,,,,,,,,,,,,,,,,,,,,,
29,114,,,,,,,,,,,,,,,,,,,,,,,,
30,112,,,,,,,,,,,,,,,,,,,,,,,,
31,113,,,,,,,,,,,,,,,,,,,,,,,,
32,113,,,,,,,,,,,,,,,,,,,,,,,,
33,113,,,,,,,,,,,,,,,,,,,,,,,,
34,113,,,,,,,,,,,,,,,,,,,,,,,,
35,113,,,,,,,,,,,,,,,,,,,,,,,,
36,115,,,,,,,,,,,,,,,,,,,,,,,,
37,115,,,,,,,,,,,,,,,,,,,,,,,,
38,114,,,,,,,,,,,,,,,,,,,,,,,,
39,112,,,,,,,,,,,,,,,,,,,,,,,,
40,114,,,,,,,,,,,,,,,,,,,,,,,,
41,113,,,,,,,,,,,,,,,,,,,,,,,,
42,112,,,,,,,,,,,,,,,,,,,,,,,,
43,112,,,,,,,,,,,,,,,,,,,,,,,,
44,112,,,,,,,,,,,,,,,,,,,,,,,,
45,114,,,,,,,,,,,,,,,,,,,,,,,,
46,112,,,,,,,,,,,,,,,,,,,,,,,,
47,113,,,,,,,,,,,,,,,,,,,,,,,,
48,112,,,,,,,,,,,,,,,,,,,,,,,,
49,111,,,,,,,,,,,,,,,,,,,,,,,,
50,113,,,,,,,,,,,,,,,,,,,,,,,,
51,129,,,,,,,,,,,,,,,,,,,,,,,,
52,113,,,,,,,,,,,,,,,,,,,,,,,,
53,113,,,,,,,,,,,,,,,,,,,,,,,,
54,113,,,,,,,,,,,,,,,,,,,,,,,,
